City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Nizhniy Odes,97,RU,97,63.64,54.86,10.42,4.47
Buraidah,0,SA,59,26.33,43.98,62.6,13.87
Sangar,57,RU,77,63.92,127.47,-47.56,4.97
Chumphon,96,TH,99,10.33,98.83,71.11,1.81
Yārāda,1,IN,76,17.65,83.27,74.98,7.45
Shangrao,77,CN,79,28.45,117.97,36.97,3.91
Were Īlu,0,ET,52,10.6,39.43,48.0,4.27
Lakes Entrance,98,AU,93,-37.88,147.98,66.0,1.01
San Rafael,0,AR,16,-34.62,-68.33,80.02,8.99
Esmeraldas,0,BR,27,-19.76,-44.31,89.6,6.93
Tayoltita,0,MX,19,24.08,-105.93,75.49,7.36
Santa Barbara,1,US,38,34.73,-120.03,63.0,4.88
Santana do Livramento,0,BR,49,-30.89,-55.53,81.72,6.38
Tabou,51,CI,83,4.42,-7.35,79.16,6.02
Haines Junction,100,CA,84,60.75,-137.51,3.2,1.12
Prescott,1,US,30,34.54,-112.47,45.0,8.05
Vestmannaeyjar,69,IS,74,63.44,-20.27,43.16,11.52
Sulangan,93,PH,79,11.14,123.72,81.72,13.2
Lang Son,100,VN,58,21.83,106.73,45.77,8.41
Rawlins,40,US,62,41.79,-107.24,23.0,14.99
Mangai,93,CD,97,-4.05,19.53,70.95,1.05
Banda Aceh,100,ID,82,5.56,95.32,78.04,6.15
San Quintín,0,MX,47,30.48,-115.95,63.97,7.85
Ilūkste,94,LV,97,55.98,26.3,28.11,7.92
Buta,85,CD,72,2.79,24.73,73.26,1.61
Broken Hill,0,AU,53,-31.95,141.43,71.6,10.29
Butler,1,US,55,39.45,-84.57,35.6,11.41
Wiarton,20,CA,57,44.74,-81.13,23.0,5.82
Wuwei,3,CN,86,37.93,102.64,13.6,1.32
Opuwo,0,NA,39,-18.06,13.84,66.94,8.52
Kushmurun,66,KZ,90,52.45,64.63,5.74,9.66
Naberera,0,TZ,75,-4.2,36.93,67.57,10.63
Lerwick,0,GB,87,60.15,-1.15,46.4,8.05
Chara,52,RU,67,56.91,118.26,-23.04,0.47
Carutapera,84,BR,70,-1.2,-46.02,83.17,7.76
Roebourne,37,AU,77,-20.78,117.13,79.05,3.65
Clyde River,20,CA,77,70.47,-68.59,-2.2,17.22
Abnūb,0,EG,47,27.27,31.15,57.2,5.82
Kushiro,0,JP,87,42.98,144.37,22.15,12.33
Nhulunbuy,75,AU,88,-12.23,136.77,77.0,3.36
Inírida,99,CO,79,3.87,-67.92,83.88,2.86
Staroye Drozhzhanoye,100,RU,96,54.73,47.57,17.62,7.81
Silver City,1,US,28,32.77,-108.28,44.6,13.87
Barretos,100,BR,61,-20.56,-48.57,87.06,3.91
Livezile,0,RO,10,47.18,24.57,30.0,1.01
Humaitá,91,BR,89,-7.51,-63.02,80.42,3.94
Saint-Pierre,43,RE,88,-21.34,55.48,77.0,12.53
Oriximiná,100,BR,56,-1.77,-55.87,87.3,2.21
Petropavlovsk-Kamchatskiy,90,RU,100,53.05,158.65,28.4,6.71
Koutiala,47,ML,22,12.39,-5.46,79.36,5.55
Maningrida,99,AU,85,-12.07,134.27,78.39,4.92
Forsytheganj,57,BY,98,52.63,29.73,28.36,3.94
Huinan,0,CN,84,42.62,126.26,-1.44,4.38
Ichnya,94,UA,98,50.86,32.39,29.64,5.39
Jizan,0,SA,74,17.33,42.67,78.8,5.82
Itupiranga,20,BR,66,-5.13,-49.33,87.8,2.24
Guder,0,ET,38,8.97,37.77,56.52,4.54
Laguna,75,US,66,38.42,-121.42,55.0,4.7
Havre-St-Pierre,40,CA,66,50.23,-63.6,12.2,16.11
Jumla,0,NP,70,29.27,82.18,33.28,7.02
Ust-Kuyga,49,RU,79,70.02,135.6,-38.07,2.84
La Grande,90,US,90,45.32,-118.09,34.0,18.34
Kyabé,18,TD,17,9.45,18.94,77.43,3.69
Mangan,0,IN,38,27.52,88.53,52.59,4.74
Pinawa,100,CA,93,50.15,-95.88,12.04,5.39
Youghal,75,IE,87,51.95,-7.85,50.0,19.46
Kamennomostskiy,79,RU,56,44.3,40.19,49.55,2.84
Kalianget,100,ID,83,-7.05,113.93,78.26,5.77
Inhambane,20,MZ,83,-23.86,35.38,80.6,6.93
Tlaxco,5,MX,40,19.62,-98.12,69.8,12.75
Ol'ga,35,RU,77,43.74,135.29,0.93,10.92
Labuhan,100,ID,89,-6.88,112.21,77.05,8.08
Abu Dhabi,0,AE,73,24.47,54.37,69.8,5.82
Moose Factory,1,CA,63,51.26,-80.61,-7.6,10.29
Gobabis,50,NA,34,-22.45,18.97,78.8,13.87
Lubaczów,94,PL,99,50.16,23.12,33.01,5.01
Porbandar,0,IN,51,21.64,69.61,66.6,13.0
Grand Gaube,38,MU,87,-20.01,57.66,77.0,8.01
Sibolga,100,ID,74,1.74,98.78,78.31,2.95
Guerrero Negro,0,MX,32,27.98,-114.06,68.77,4.12
eMkhomazi,82,ZA,95,-30.21,30.8,72.0,15.93
Kathmandu,20,NP,86,27.72,85.32,41.0,2.24
Tigre,0,AR,56,-34.43,-58.58,78.01,19.46
Flin Flon,90,CA,83,54.77,-101.86,-4.0,4.7
San Joaquin,40,US,71,37.93,-121.3,53.6,3.36
Istok,75,XK,78,42.78,20.49,37.4,2.24
Weston,90,US,69,26.1,-80.4,82.99,4.7
Jalingo,53,NG,19,8.88,11.37,81.55,4.63
North Branch,100,US,69,45.51,-92.98,21.0,5.01
Garoowe,70,SO,56,8.41,48.48,68.88,12.77
Rūdbār,0,AF,54,30.15,62.6,40.75,3.02
Lingao,99,CN,80,19.91,109.69,64.08,14.0
Kharitonovo,100,RU,97,61.4,47.5,19.81,5.57
Tateyama,20,JP,29,34.98,139.87,39.2,4.7
Batemans Bay,100,AU,97,-35.72,150.18,70.0,1.32
Brae,1,GB,87,60.4,-1.35,46.4,8.05
Tongliao,0,CN,84,43.61,122.27,-11.24,7.14
Gaogou,0,CN,71,34.02,119.19,26.76,4.43
Aykhal,75,RU,75,66.0,111.5,-16.6,6.71
Kungurtug,93,RU,86,50.6,97.52,1.09,1.34
Padang,100,ID,75,-0.95,100.35,77.74,4.18
Trairi,82,BR,72,-3.28,-39.27,82.11,13.91
Kalach-na-Donu,90,RU,85,48.69,43.53,23.0,6.71
Vestmanna,100,FO,100,62.16,-7.17,44.6,10.29
Poum,0,NC,71,-20.23,164.02,78.82,10.47
Boueni,0,YT,83,-12.9,45.08,78.8,4.7
Sosnovo-Ozerskoye,81,RU,90,52.52,111.54,-6.48,8.37
Toppenish,90,US,70,46.38,-120.31,46.4,4.7
Belmonte,40,BR,69,-15.86,-38.88,78.8,11.41
Rodolfo Sánchez Taboada,0,MX,60,31.72,-116.57,66.0,3.0
Belyy Yar,0,RU,49,53.6,91.39,24.8,15.66
Tupik,0,RU,79,54.43,119.93,-25.04,2.26
Palana,95,RU,93,59.12,159.97,14.99,15.7
Basco,100,PH,84,20.45,121.97,74.82,28.27
Dafeng,100,CN,63,23.45,108.59,42.87,7.65
Hengyang,100,CN,93,26.89,112.61,33.51,8.37
Barcelos,75,PT,76,41.54,-8.62,55.4,31.09
